Name	Price	Link
Xiaomi Mi 9	R$ 1,693	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9
Samsung Galaxy S10 Plus	R$ 5,819	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975f-1tb
Samsung Galaxy S10 Plus	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975u
OnePlus 7	R$ 1,969	https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-cn
Oppo Reno 10x Zoom	--	https://www.kimovil.com/en/where-to-buy-oppo-reno-10x-zoom-global
OnePlus 7	R$ 2,363	https://www.kimovil.com/en/where-to-buy-oneplus-7-12gb-256gb-cn
Oneplus 6T	R$ 1,599	https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-128gb
Xiaomi Mi 9	R$ 1,491	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global
OnePlus 7	R$ 2,654	https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-global
Oneplus 6T	R$ 2,329	https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-6gb-128gb
Xiaomi Mi 9	R$ 1,808	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-8gb-cn
Xiaomi Mi 9	R$ 1,696	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global-128gb
OnePlus 7	--	https://www.kimovil.com/en/where-to-buy-oneplus-7
Xiaomi Mi Mix 2s	R$ 1,142	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-global
Oneplus 6T	R$ 1,909	https://www.kimovil.com/en/where-to-buy-oneplus-6t-8gb-128gb
Oneplus 6T	R$ 2,087	https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-256gb
Samsung Galaxy S10 Plus	R$ 3,437	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus
Huawei Mate 20X	R$ 2,186	https://www.kimovil.com/en/where-to-buy-huawei-mate-20x
