Name,Price,Link,Antutu
Xiaomi Mi 9,1693,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9,372006
Samsung Galaxy S10 Plus,5819,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975f-1tb,340345
OnePlus 7,1969,https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-cn,362000
OnePlus 7,2363,https://www.kimovil.com/en/where-to-buy-oneplus-7-12gb-256gb-cn,362000
Oneplus 6T,1599,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-128gb,297132
Xiaomi Mi 9,1491,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global,372006
OnePlus 7,2654,https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-global,362000
Oneplus 6T,2329,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-6gb-128gb,297132
Xiaomi Mi 9,1808,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-8gb-cn,372006
Xiaomi Mi 9,1696,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global-128gb,372006
Xiaomi Mi Mix 2s,1142,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-global,277178
Oneplus 6T,1909,https://www.kimovil.com/en/where-to-buy-oneplus-6t-8gb-128gb,297132
Oneplus 6T,2087,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-256gb,297132
Samsung Galaxy S10 Plus,3437,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus,340345
Huawei Mate 20X,2186,https://www.kimovil.com/en/where-to-buy-huawei-mate-20x,313561
OnePlus 7 Pro,2572,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-cn,364025
Xiaomi Mi8,1902,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-8gb,271164
Oneplus 6T,2653,https://www.kimovil.com/en/where-to-buy-oneplus-6t,297132
Nubia Red Magic 3,2287,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-3,384304
Nubia Red Magic 3,1796,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-3-6gb-128gb-nx628j,384304
OnePlus 7 Pro,2879,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-8gb-256gb-cn,364025
Xiaomi Mi Mix 2s,1516,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-global-128gb,277178
Huawei Mate 20X,2830,https://www.kimovil.com/en/where-to-buy-huawei-mate-20x-l29,313561
OnePlus 6,1456,https://www.kimovil.com/en/where-to-buy-oneplus-6-cn,292275
OnePlus 6,1548,https://www.kimovil.com/en/where-to-buy-oneplus-6-8gb-128gb,292275
Xiaomi Mi8,1209,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-6gb-64gb,271164
Xiaomi Mi8,1260,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-6gb-128gb,271164
OnePlus 7 Pro,2855,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro,364025
OnePlus 7 Pro,3131,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-8gb-256gb,364025
