Name,Price,Link,Antutu,Custo Benefício
Xiaomi Mi A2,449,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2,134292,00299
ZUK Z2,598,https://www.kimovil.com/en/where-to-buy-zuk-z2-4gb-64gb,164168,00274
Pocophone F1,1102,https://www.kimovil.com/en/where-to-buy-xiaomi-pocophone-f1,296100,00268
LeEco Le 2,364,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-2-x520-3gb-64gb,92599,00254
LeEco Le 2,365,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-2-x526,92599,00253
LeEco Le 2,368,https://www.kimovil.com/en/where-to-buy-leeco-le-2,92599,00251
Pocophone F1,1184,https://www.kimovil.com/en/where-to-buy-xiaomi-pocophone-f1-6gb-128gb,296100,00250
Xiaomi Black Shark,1246,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark6gb-64gb-global,294520,00236
Xiaomi Mi8,1157,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-6gb-128gb,271164,00234
Xiaomi Mi 9,1630,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global,372006,00228
Redmi Note 7,635,https://www.kimovil.com/en/where-to-buy-redmi-note-7,144599,00227
Meizu X8,725,https://www.kimovil.com/en/where-to-buy-meizu-meizu-x8-global,164726,00227
Meizu Note 9,791,https://www.kimovil.com/en/where-to-buy-meizu-note-9-global,178976,00226
Xiaomi Mi Mix 2s,1229,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-global,277178,00225
Redmi Note 7,643,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global,144599,00224
Xiaomi Mi A2,613,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2-64gb,134292,00219
Nubia Red Magic Mars,1471,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars,320971,00218
Xiaomi Mi Note 2,762,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-2,164904,00216
Xiaomi Mi 6x,619,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6x-6gb-64gb,133086,00215
Xiaomi Mi8,1266,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-6gb-64gb,271164,00214
Xiaomi Mi Mix 2s,1295,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s,277178,00214
LeEco Le 2,432,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-2x526-64gb,92599,00214
LeEco Le S3,356,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-s33gb-x526,75901,00213
Lenovo K5 Pro,549,https://www.kimovil.com/en/where-to-buy-lenovo-k5-pro,115000,00209
Lenovo Z5 Pro GT,1782,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt,371273,00208
Xiaomi Mi6,983,https://www.kimovil.com/en/where-to-buy-xiaomi-mi6-4gb-64gb,205176,00208
Xiaomi Mi 9,1794,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-global-128gb,372006,00207
Meizu 16th,1405,https://www.kimovil.com/en/where-to-buy-meizu-16th-global,291185,00207
Xiaomi Mi 9,1803,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9,372006,00206
Xiaomi Redmi Note 5,569,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-5-32gb,116663,00205
Xiaomi Mi 6x,647,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6x,133086,00205
Xiaomi Mi8 Global,1331,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8,271164,00203
Meizu X8,811,https://www.kimovil.com/en/where-to-buy-meizu-x8-4gb-128gb-global,164726,00203
Leeco Le 2 International,454,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-2-in,92599,00203
Xiaomi Mi8 Lite,711,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite,143942,00202
Lenovo Z5s,823,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-global,166232,00201
Xiaomi Black Shark,1471,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark,294520,00200
